,Neighbourhood,Postalcode,Neighborhood Latitude,Neighborhood Longitude,Venue,fsq_id,Venue Latitude,Venue Longitude,Venue Category
240,"India Bazaar, The Beaches West",M4L,43.6689985,-79.3155716,Beach Pilates,563e3354cd10dfa52622a148,43.671616,-79.29188,Pilates Studio
242,Studio District,M4M,43.6595255,-79.340923,Framewrk,599f64951755620376310885,43.658327,-79.353283,Pilates Studio
244,Studio District,M4M,43.6595255,-79.340923,Have a Nice Day Pilates,61845b587f081a47081cf050,43.654036,-79.361392,Pilates Studio
246,"Parkview Hill, Woodbine Gardens",M4B,43.7063972,-79.309937,The Workout Loft,4f6775dbe4b04103a061df56,43.696884,-79.329357,Pilates Studio
247,Woodbine Heights,M4C,43.6953439,-79.3183887,The Workout Loft,4f6775dbe4b04103a061df56,43.696884,-79.329357,Pilates Studio
248,Woodbine Heights,M4C,43.6953439,-79.3183887,Ki Pilates Fitness,45acc110ad014faee6c2b433,43.680712,-79.311412,Pilates Studio
249,Leaside,M4G,43.7090604,-79.3634517,Core Body Science,4e307348922e065e29f3b62c,43.704503,-79.366178,Pilates Studio
250,Leaside,M4G,43.7090604,-79.3634517,MODALIFE Studio,5fc11ef7054046f2f5c55a64,43.703508,-79.363633,Pilates Studio
251,Leaside,M4G,43.7090604,-79.3634517,North Movement Studio,191a326590db451f73ff78d6,43.707479,-79.375497,Pilates Studio
252,Thorncliffe Park,M4H,43.7053689,-79.3493719,Core Body Science,4e307348922e065e29f3b62c,43.704503,-79.366178,Pilates Studio
253,Thorncliffe Park,M4H,43.7053689,-79.3493719,The Workout Loft,4f6775dbe4b04103a061df56,43.696884,-79.329357,Pilates Studio
254,Thorncliffe Park,M4H,43.7053689,-79.3493719,MODALIFE Studio,5fc11ef7054046f2f5c55a64,43.703508,-79.363633,Pilates Studio
255,The Danforth East,M4J,43.685347,-79.3381065,Riverdale Pilates,4bda20bfc79cc92848a77de9,43.678018,-79.350372,Pilates Studio
256,The Danforth East,M4J,43.685347,-79.3381065,The Workout Loft,4f6775dbe4b04103a061df56,43.696884,-79.329357,Pilates Studio
257,The Danforth East,M4J,43.685347,-79.3381065,Pilates Tall and Flex Classes with Leta,2145b254e26f4d891207a5c8,43.677389,-79.351301,Pilates Studio
258,The Danforth East,M4J,43.685347,-79.3381065,Nourishing Vitality,ab95f03cd56b450730e5d297,43.677131,-79.353318,Pilates Studio
259,"The Kingsway, Montgomery Road, Old Mill North",M8X,43.6536536,-79.5069436,Studio Z Yoga & Fitness,506887dc498e82405f907327,43.658944,-79.488139,Pilates Studio
260,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",M8Y,43.6362579,-79.4985091,Barira Barre,5d24bc7a33b320002374532c,43.624261,-79.510155,Pilates Studio
261,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",M8Z,43.6288408,-79.5209994,Barira Barre,5d24bc7a33b320002374532c,43.624261,-79.510155,Pilates Studio
262,Hillcrest Village,M2H,43.8037622,-79.3634517,Cummer Park Pilates Studio,54c964e1498e23040c7b55ea,43.79984,-79.371079,Pilates Studio
263,Bayview Village,M2K,43.7869473,-79.385975,Cummer Park Pilates Studio,54c964e1498e23040c7b55ea,43.79984,-79.371079,Pilates Studio
264,"York Mills, Silver Hills",M2L,43.7574902,-79.3747141,9Movement Pilates,5c310a8da0215b002c19e5ae,43.766012,-79.391896,Pilates Studio
265,"Willowdale, Newtonbrook",M2M,43.789053,-79.4084928,ForME Studio,6271da0fbb54721d49e1beb2,43.797624,-79.419456,Pilates Studio
266,Willowdale) Sout,M2N,43.7701199,-79.4084928,9Movement Pilates,5c310a8da0215b002c19e5ae,43.766012,-79.391896,Pilates Studio
267,York Mills West,M2P,43.7527583,-79.4000493,9Movement Pilates,5c310a8da0215b002c19e5ae,43.766012,-79.391896,Pilates Studio
268,Downsview) East (CFB Toronto,M3K,43.7374732,-79.4647633,Harmony Fitness,4ca4b93af88a95215865b449,43.733152,-79.447306,Pilates Studio
269,"Bedford Park, Lawrence Manor East",M5M,43.7332825,-79.4197497,Lili Viola Pilates Inc,31075a42d66e4d8e534d83a9,43.731336,-79.4036,Pilates Studio
270,"Bedford Park, Lawrence Manor East",M5M,43.7332825,-79.4197497,Lili Viola Pilates Inc,7df0ad9e659c4b607b100bb5,43.729266,-79.418162,Pilates Studio
271,Ontario Provincial Government,M7A,43.6623015,-79.3894938,Imprint Pilates,4bb13f68f964a520d7863ce3,43.646432,-79.395056,Pilates Studio
272,Ontario Provincial Government,M7A,43.6623015,-79.3894938,Sagrario Pilates Studio,4aeaed64f964a520b9bc21e3,43.665463,-79.381116,Pilates Studio
273,Ontario Provincial Government,M7A,43.6623015,-79.3894938,Yorkville Pilates,552fcdcb498e1648d9296c98,43.669954,-79.395815,Pilates Studio
274,Ontario Provincial Government,M7A,43.6623015,-79.3894938,Pilates For Life,4b27ba32f964a520068924e3,43.671943,-79.390847,Pilates Studio
275,Ontario Provincial Government,M7A,43.6623015,-79.3894938,Coyne Pilates,4bd8a06003979c745323bdd2,43.672889,-79.384777,Pilates Studio
276,Ontario Provincial Government,M7A,43.6623015,-79.3894938,Eden Pilates,4f147559d5fb04999e94a665,43.674763,-79.38835,Pilates Studio
277,Ontario Provincial Government,M7A,43.6623015,-79.3894938,Body Mason,55fb37b3498edd6515930db3,43.674836,-79.388127,Pilates Studio
278,Ontario Provincial Government,M7A,43.6623015,-79.3894938,Shas Yoga & Pilates Studio,4fe399f7e4b07215b0198bdb,43.675472,-79.403337,Pilates Studio
279,Ontario Provincial Government,M7A,43.6623015,-79.3894938,Live Body Wellness Consulting,4cc5c1383ed5199c91524b1e,43.646378,-79.395796,Pilates Studio
280,Ontario Provincial Government,M7A,43.6623015,-79.3894938,Walker Dance Studios,aadffd01ad104bb8624857b6,43.666475,-79.384971,Pilates Studio
281,Ontario Provincial Government,M7A,43.6623015,-79.3894938,Mandy Mintz,ff7e4f2da4b740f1e88d516f,43.671943,-79.390847,Pilates Studio
282,Ontario Provincial Government,M7A,43.6623015,-79.3894938,Pilates With Stav,5e3d496e14ef4c636a892e2d,43.672547,-79.389493,Pilates Studio
283,Ontario Provincial Government,M7A,43.6623015,-79.3894938,Ugly Duckling Pilates,20e05b15a08046913a6c96df,43.674122,-79.385581,Pilates Studio
284,Ontario Provincial Government,M7A,43.6623015,-79.3894938,Ugly Duckling Movement Studio,06b630ea421942ae82614c7e,43.674174,-79.385636,Pilates Studio
285,Ontario Provincial Government,M7A,43.6623015,-79.3894938,Studio 4,74ba264fa75d43ed97298846,43.648719,-79.380556,Pilates Studio
286,Ontario Provincial Government,M7A,43.6623015,-79.3894938,Barre 3,a55bd6549874496260831dc9,43.646172,-79.390901,Pilates Studio
287,"Rouge Hill, Port Union, Highland Creek",M1C,43.7845351,-79.1604971,Rouge Hill Pilates,c1d1f33c690c40276893f1fe,43.791469,-79.138497,Pilates Studio
288,"Guildwood, Morningside, West Hill",M1E,43.7635726,-79.1887115,The Pilates House,9fa4420232f54e678994afeb,43.773366,-79.196775,Pilates Studio
289,Woburn,M1G,43.7709921,-79.2169174,The Pilates House,9fa4420232f54e678994afeb,43.773366,-79.196775,Pilates Studio
290,"Dufferin, Dovercourt Village",M6H,43.6690051,-79.4422593,MISFITSTUDIO Bloor,5d8cd289f1c1fd0008aa92e3,43.66091,-79.429068,Pilates Studio
291,"Dufferin, Dovercourt Village",M6H,43.6690051,-79.4422593,Body Harmonics Pilates,4bd773ce5cf276b0be579b00,43.671702,-79.421958,Pilates Studio
292,"Dufferin, Dovercourt Village",M6H,43.6690051,-79.4422593,Eastward Moving Dance +Somatics,70fa750557ea41eea23e2c51,43.665633,-79.463544,Pilates Studio
293,"Little Portugal, Trinity",M6J,43.6479267,-79.4197497,Imprint Pilates,4bb13f68f964a520d7863ce3,43.646432,-79.395056,Pilates Studio
294,"Little Portugal, Trinity",M6J,43.6479267,-79.4197497,Assembly Movement,644530c127d104495fab2b5c,43.654589,-79.422586,Pilates Studio
295,"Little Portugal, Trinity",M6J,43.6479267,-79.4197497,MISFITSTUDIO Bloor,5d8cd289f1c1fd0008aa92e3,43.66091,-79.429068,Pilates Studio
296,"Little Portugal, Trinity",M6J,43.6479267,-79.4197497,Live Body Wellness Consulting,4cc5c1383ed5199c91524b1e,43.646378,-79.395796,Pilates Studio
297,"Little Portugal, Trinity",M6J,43.6479267,-79.4197497,Fine Tune Pilates Parkdale,d4e585cb1a18449803d7d55d,43.640104,-79.440319,Pilates Studio
298,"Brockton, Parkdale Village, Exhibition Place",M6K,43.6368472,-79.4281914,Fine Tune Pilates Parkdale,d4e585cb1a18449803d7d55d,43.640104,-79.440319,Pilates Studio
299,"Brockton, Parkdale Village, Exhibition Place",M6K,43.6368472,-79.4281914,Underground Pilates,0c0df844567d4a78399da9d6,43.644933,-79.447217,Pilates Studio
300,"High Park, The Junction South",M6P,43.6616083,-79.4647633,The Loft Pilates Studio,4f17640ce4b062dab8e8fc04,43.665312,-79.468683,Pilates Studio
301,"High Park, The Junction South",M6P,43.6616083,-79.4647633,Retrofit Bodyworks Pilates,4ce31a82910ea1cd1701747b,43.650112,-79.47998,Pilates Studio
302,"High Park, The Junction South",M6P,43.6616083,-79.4647633,Studio Z Yoga & Fitness,506887dc498e82405f907327,43.658944,-79.488139,Pilates Studio
303,"High Park, The Junction South",M6P,43.6616083,-79.4647633,Eastward Moving Dance +Somatics,70fa750557ea41eea23e2c51,43.665633,-79.463544,Pilates Studio
304,"Parkdale, Roncesvalles",M6R,43.6489597,-79.456325,Retrofit Bodyworks Pilates,4ce31a82910ea1cd1701747b,43.650112,-79.47998,Pilates Studio
305,"Parkdale, Roncesvalles",M6R,43.6489597,-79.456325,Underground Pilates,0c0df844567d4a78399da9d6,43.644933,-79.447217,Pilates Studio
306,"Parkdale, Roncesvalles",M6R,43.6489597,-79.456325,Fine Tune Pilates Parkdale,d4e585cb1a18449803d7d55d,43.640104,-79.440319,Pilates Studio
307,"Parkdale, Roncesvalles",M6R,43.6489597,-79.456325,Eastward Moving Dance +Somatics,70fa750557ea41eea23e2c51,43.665633,-79.463544,Pilates Studio
308,"Runnymede, Swansea",M6S,43.6515706,-79.4844499,Retrofit Bodyworks Pilates,4ce31a82910ea1cd1701747b,43.650112,-79.47998,Pilates Studio
309,"Runnymede, Swansea",M6S,43.6515706,-79.4844499,Studio Z Yoga & Fitness,506887dc498e82405f907327,43.658944,-79.488139,Pilates Studio
310,"Runnymede, Swansea",M6S,43.6515706,-79.4844499,The Loft Pilates Studio,4f17640ce4b062dab8e8fc04,43.665312,-79.468683,Pilates Studio
311,Humewood-Cedarvale,M6C,43.6937813,-79.4281914,Body Harmonics Pilates,4e558712d4c0c50afda8fb30,43.70353,-79.412873,Pilates Studio
312,"Runnymede, The Junction North",M6N,43.6731853,-79.4872619,Studio Z Yoga & Fitness,506887dc498e82405f907327,43.658944,-79.488139,Pilates Studio
313,"Runnymede, The Junction North",M6N,43.6731853,-79.4872619,The Loft Pilates Studio,4f17640ce4b062dab8e8fc04,43.665312,-79.468683,Pilates Studio
