Postalcode,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-85,85_plus,Avg Income,Population,Borough,Neighbourhood,Latitude,Longitude,Venue,High Education Count,Fitness workforce,target_women_population,market_cap
M1H,600.0,550.0,825.0,1095.0,1010.0,855.0,765.0,770.0,860.0,835.0,750.0,645.0,490.0,385.0,310.0,435.0,36480.0,23964.0,Scarborough,Cedarbrae,43.773136,-79.2394761,,6895.0,50.0,10030.0,365894400.0
M1J,1125.0,1190.0,1315.0,1385.0,1335.0,1320.0,1285.0,1325.0,1300.0,1335.0,1200.0,900.0,740.0,550.0,400.0,535.0,35360.0,37002.0,Scarborough,Scarborough Village,43.7447342,-79.2394761,,7690.0,40.0,14925.0,527748000.0
M1K,1325.0,1355.0,1555.0,1685.0,1825.0,1710.0,1625.0,1630.0,1730.0,1905.0,1690.0,1365.0,1075.0,755.0,585.0,560.0,35520.0,48175.0,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.2620294,,10665.0,105.0,19695.0,699566400.0
M1L,1005.0,985.0,1055.0,1115.0,1360.0,1445.0,1340.0,1305.0,1260.0,1265.0,1055.0,785.0,615.0,400.0,350.0,645.0,37960.0,35833.0,Scarborough,"Golden Mile, Clairlea, Oakridge",43.7111117,-79.2845772,,9660.0,165.0,13995.0,531250200.0
M1M,665.0,735.0,715.0,690.0,615.0,715.0,700.0,805.0,905.0,980.0,895.0,735.0,585.0,385.0,310.0,470.0,42920.0,23258.0,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.2394761,,6700.0,120.0,9505.0,407954600.0
M1N,600.0,585.0,565.0,650.0,710.0,745.0,800.0,880.0,875.0,1025.0,865.0,715.0,625.0,365.0,270.0,385.0,53000.0,22976.0,Scarborough,"Birch Cliff, Cliffside West",43.692657,-79.2648481,,6805.0,185.0,9475.0,502175000.0
M1P,1110.0,1195.0,1660.0,1795.0,1690.0,1560.0,1385.0,1500.0,1500.0,1715.0,1500.0,1300.0,1025.0,695.0,685.0,975.0,35920.0,45170.0,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.273304,,11585.0,95.0,18985.0,681941200.0
M1R,760.0,840.0,985.0,1085.0,1010.0,1045.0,985.0,995.0,1120.0,1235.0,1110.0,865.0,675.0,485.0,440.0,545.0,37720.0,30467.0,Scarborough,"Wexford, Maryvale",43.7500715,-79.2958491,,7100.0,105.0,12580.0,474517600.0
M1S,720.0,795.0,1270.0,1510.0,1420.0,1180.0,1000.0,1095.0,1395.0,1540.0,1455.0,1250.0,1070.0,770.0,660.0,920.0,35720.0,37663.0,Scarborough,Agincourt,43.7942003,-79.2620294,,10320.0,100.0,16535.0,590630200.0
M1T,815.0,830.0,1065.0,1215.0,1130.0,1100.0,1000.0,1105.0,1275.0,1390.0,1260.0,1050.0,1085.0,855.0,800.0,1035.0,36520.0,34607.0,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,,9635.0,125.0,15365.0,561129800.0
M1V,1135.0,1085.0,1505.0,1625.0,1670.0,1655.0,1420.0,1570.0,1800.0,2150.0,2070.0,1865.0,1615.0,960.0,815.0,1000.0,32920.0,50825.0,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772,,10700.0,75.0,21720.0,715022400.0
M1W,1045.0,1205.0,1315.0,1515.0,1375.0,1405.0,1270.0,1535.0,1855.0,1975.0,1830.0,1720.0,1635.0,1140.0,990.0,1215.0,36320.0,47070.0,Scarborough,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887,,13180.0,120.0,20775.0,754548000.0
M1X,480.0,490.0,640.0,555.0,500.0,450.0,490.0,490.0,555.0,615.0,500.0,415.0,290.0,190.0,105.0,100.0,36520.0,14810.0,Scarborough,Upper Rouge,43.8361247,-79.2056361,,3145.0,20.0,5895.0,215285400.0
M6H,835.0,700.0,1230.0,2280.0,2815.0,2240.0,1675.0,1405.0,1325.0,1295.0,1125.0,1000.0,830.0,645.0,515.0,555.0,46280.0,43730.0,West Toronto,"Dufferin, Dovercourt Village",43.6690051,-79.4422593,6.0,15515.0,225.0,18935.0,876311800.0
M6J,420.0,395.0,925.0,2295.0,2385.0,1715.0,1215.0,1000.0,960.0,850.0,680.0,670.0,490.0,415.0,375.0,445.0,55700.0,32111.0,West Toronto,"Little Portugal, Trinity",43.6479267,-79.4197497,8.0,14095.0,135.0,14420.0,803194000.0
M6K,500.0,560.0,1210.0,3315.0,3515.0,2355.0,1620.0,1275.0,1065.0,990.0,915.0,765.0,625.0,400.0,355.0,430.0,47520.0,42110.0,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.4281914,3.0,17215.0,260.0,18835.0,895039200.0
M6P,770.0,675.0,930.0,1800.0,2465.0,2130.0,1735.0,1515.0,1285.0,1240.0,1175.0,1015.0,915.0,525.0,375.0,430.0,53550.0,39870.0,West Toronto,"High Park, The Junction South",43.6616083,-79.4647633,5.0,18145.0,195.0,17535.0,938999250.0
M6R,475.0,455.0,425.0,775.0,1110.0,970.0,815.0,800.0,740.0,670.0,520.0,380.0,310.0,215.0,160.0,225.0,64200.0,19349.0,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325,5.0,9135.0,95.0,8115.0,520983000.0
M6S,1080.0,850.0,730.0,880.0,1325.0,1460.0,1445.0,1355.0,1300.0,1290.0,1160.0,1025.0,800.0,545.0,365.0,440.0,65800.0,34029.0,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499,4.0,15230.0,195.0,14120.0,929096000.0
M6C,625.0,525.0,610.0,885.0,1115.0,1030.0,910.0,895.0,815.0,830.0,755.0,755.0,635.0,420.0,320.0,345.0,59800.0,23997.0,York,Humewood-Cedarvale,43.6937813,-79.4281914,2.0,10060.0,155.0,10320.0,617136000.0
M6E,735.0,855.0,1060.0,1415.0,1610.0,1540.0,1400.0,1405.0,1390.0,1355.0,1290.0,990.0,850.0,610.0,525.0,575.0,40800.0,37684.0,York,Caledonia-Fairbanks,43.6890256,-79.453512,,8710.0,165.0,16015.0,653412000.0
M6M,1215.0,1240.0,1400.0,1505.0,1650.0,1575.0,1525.0,1470.0,1610.0,1730.0,1480.0,1070.0,865.0,585.0,550.0,645.0,36680.0,42148.0,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.4760133,,5825.0,120.0,17660.0,647768800.0
M6N,985.0,990.0,1125.0,1420.0,1565.0,1700.0,1520.0,1305.0,1375.0,1520.0,1405.0,1125.0,940.0,630.0,440.0,515.0,38760.0,40252.0,York,"Runnymede, The Junction North",43.6731853,-79.4872619,3.0,7190.0,130.0,16585.0,642834600.0
